title,price,thumbnail,category,description,url,author
"Knjiga života","5.374 rsd","https://www.korisnaknjiga.com/photo/books0055/p054171c0.jpg","Biografije, autobiografije, memoari","Knjiga života maestralan je krešendo trilogije All souls u kojem su vještice, vampiri i demoni prikazani dojmljivo trodimenzionalno, roman prepun strasti koji govori o nama danas i vječnoj ljubavi za kojom svatko traga. S više od milijun primjeraka prodanih samo u Sjedinjenim Američkim Državama i s prijevodima na trideset četiri jezika trilogija Deborah Harkness jedan je od najuspješnijih serijala proteklih godina.","knjiga-zivota-naslov-54171","Debora Harknes"
"Lauš","890 rsd","https://www.korisnaknjiga.com/photo/books0243/p242462b0.jpg","Biografije, autobiografije, memoari","“Lauš” Borisa Jakića je emotivna i dokumentarna priča o životu i karijeri jednog od najharizmatičnijih glumaca s prostora bivše Jugoslavije – Žarka Lauševića. 

Knjiga se bavi svim ključnim momentima njegovog života: od detinjstva i glumačkih početaka, preko njegovog vrtoglavog uspona do zvezda, do mračnog preokreta u jednoj tragičnoj noći koja ga je odvela iza rešetaka i naterala u egzil. Kroz svedočenja kolega, prijatelja, reditelja i ljudi koji su ga poznavali, Jakić pokušava da prikaže kompletnu ličnost Lauševića – kao šarmantnog i talentovanog umetnika, ali i čoveka koji je morao da se nosi sa ličnim demonima i posledicama svojih postupaka.

Posebnu vrednost knjizi daju dosad neobjavljene fotografije iz njegovog detinjstva, kao i porodične uspomene, uključujući detalje o njegovom odnosu s bratom Branimirem, s kojim deli deo teške životne sudbine. Jakić uspeva da kroz priču o Lauševiću dočara snagu umetnosti i prijateljstva, naglašavajući da, čak i kada život donosi tragedije, ostaju dela, uspomene i uticaj na one koji su ga poznavali i voleli. 

“Lauš” nije samo biografija, već i omaž umetniku čiji je sjaj trajao i kroz najteže trenutke. Kroz ovaj narativ, čitalac dobija priliku da zaviri iza scene u život čoveka koji je, uprkos svemu, ostao legenda domaće kinematografije i pozorišta.","laus-naslov-242462","Boris Jakić"
"Žitije protopopa Avakuma, koje je on sam napisao","440 rsd","https://www.korisnaknjiga.com/photo/books0144/p143836c0.jpg","Biografije, autobiografije, memoari","Protopop Avakum se protivio reformama patrijarha Nikona, pa ga je ruski car prognao u Sibir. Poslednjih četrnaest godina života bio je zatočen u tvrđavi u Pustozjorsku na Pečori gde je pisao Žitije, prvu autobiografiju ruske književnosti prepunu realističkim opažanjima.","zitije-protopopa-avakuma-koje-je-on-sam-napisao-naslov-143836","Avakum Petrovič"
"Pismo ocu","653 rsd","https://www.korisnaknjiga.com/photo/books0022/p021780b0.jpg","Biografije, autobiografije, memoari","Pred nama je, verovatno, najčuvenije pismo u književnosti dvadesetog veka. Na sedamdeset tri stranice napisao ga je Kafka ocu, u trenutku kad je bio neposredno pod uticajem neostvarene ljubavne veze, za koju on okrivljuje i oca, ali je ovo pismo, zapravo, trebalo da bude i objašnjenje za njihov mučan i bolan odnos. Tekst pisma Kafka je imao u odštampanoj verziji, što ukazuje da je sam pisac prepoznao književnu vrednost teksta i njegovu aktuelnost i univerzalnost. Ovo pismo, koje Kafka nekoliko puta spominje u pismima Mileni Jesenskoj, pisac je dugo želeo da napiše. Odnos Hermana Kafke prema Francu oblikovan je tradicionalnim očekivanjima uspešnog poslovnog čoveka od jedinog sina i naslednika. On odgovara tipičnom, za patrijarhalne odnose, konfliktu oca i sina u novonastaloj srednjoj klasi koja je u toku kratkog vremena doživela odlučujuće promene.Kristof Štecl na primeru odnosa Hermana Kafke i njegovog sina dolazi do sledećih zaključaka: ""Sukob između Hermana Kafke i Franca Kafke je nepremostiv sukob između dve jevrejske generacije, koji je mučan upravo zbog toga što obojica, otac i sin, predstavljaju tipove ekstremno uzdignutih osoba iznad onih koji su tipični za generaciju"". Ovo izdanje na našem jeziku od posebne je važnosti, jer je obogaćeno i iscrpnim pogovorom i napomenama, koji detaljno tumače samo pismo, kao i Kafkin spisateljski i lični život. Ovo Kafkino Pismo ocu, kao i da je pismo svetu koje piše Kafka, koji je, uprkos genijalanosti, čitavog života bio svuda i na svakom mestu, pa i u porodici - stranac. No, roman pod tim naslovom, napisaće jedan drugi čovek, Alber Kami, koji je baš kao i Kafka bio vazda ""ni miran, ni srećan, ni veseo"".","pismo-ocu-naslov-21780","Franc Kafka"
"Niko se odavde neće izvući živ","839 rsd","https://www.korisnaknjiga.com/photo/books0206/p205103b0.jpg","Biografije, autobiografije, memoari","Biografija muzičara Džima Morisona i grupe Dors.

Iz recenzija:

„Uznemirujuća priča o psihičkoj nestabilnosti jednog umetnika. Temeljna, provokativna i krajnje saosećajna.“

Baltimore Sun

„Obavezno štivo za svakog obožavaoca grupe Dors prepuno pikantnih otkrića, gorko-slatkih uspomena i iscrpnog istraživanja Morisonove bizarne propasti.“

Los Angeles Times

„Briljantno... Vrlo živopisan, divlje zanosan prikaz jednog kratkog života proživljenog na ivici, ma preko ivice. Jedna bezbožna vožnja, surovo putovanje kroz mračnu stranu ljudske prirode. Savršena knjiga. Napisana onom vrstom robusne perfekcije kakvu bi Morison znao da ceni. Pročitajte.“

Kicks

„Fantastično! Niko se odavde neće izvući živ probudiće vam nostalgiju za tim furioznim vremenom nabijenim strastima, koje je prebrzo prošlo. Ova knjiga je dokument, a ne tek još jedna biografija pale zvezde.“

Nashville Gazette","niko-se-odavde-nece-izvuci-ziv-naslov-205103","Džeri Hopkins, Deni Šugermen"
"Nikola Tesla: Romansirana biografija","963 rsd","https://www.korisnaknjiga.com/photo/books0186/p185802b0.jpg","Biografije, autobiografije, memoari","Biografija je pisana razumljivim i jednostavnim jezikom. Autor se u ovom delu osvrće i na Teslin inovatorski rad.","nikola-tesla-romansirana-biografija-naslov-185802","Artur Bekhard"
"Hitler - slika tiranije, 1-3","3.299 rsd","https://www.korisnaknjiga.com/photo/books0243/p242332b0.jpg","Biografije, autobiografije, memoari","""Hitler - slika tiranije, 1-3"" Alana Buloka predstavlja sveobuhvatno istraživanje života i uspona Adolfa Hitlera, jednog od najkontroverznijih i najpogubnijih vođa u svetskoj istoriji. Kroz tri dela, Bulok analizira Hitlerovu transformaciju iz političkog autsajdera u brutalnog diktatora, istražujući istorijske okolnosti, političke borbe i ideološke previranja koja su omogućila njegov dolazak na vlast.

Prvi deo prati rane godine Hitlerovog uspona i unutrašnje borbe koje su ga dovele do vrha nemačke politike, otkrivajući početke katastrofe koja će se ubrzo obrušiti na svet. Drugi deo istražuje period od preuzimanja funkcije kancelara do aneksije susednih teritorija, prikazujući rađanje diktatora tokom kratkotrajnog mira i ekspanziju Nemačke koja vodi ka ratu. Završni deo detaljno prati Hitlerove megalomanske ratne ambicije i posledice koje su ostavile svet u ruševinama – od prvih vojnih uspeha do konačnog poraza, gde ostaju samo smrt i razaranja kao njegovo jedino nasleđe.

Alan Bulok, ugledni profesor sa Oksforda, kroz precizno istraživanje i bogate istorijske uvide pruža ne samo analizu Hitlerove ličnosti već i razumevanje političkih i društvenih okolnosti koje su oblikovale jednu od najmračnijih epoha modernog doba. Ova trilogija predstavlja esencijalno štivo za sve zainteresovane za razumijevanje dinamike moći, istorije totalitarizma i razaranja koje takva vlast može doneti.","hitler-slika-tiranije-1-3-naslov-242332","Alan Bulok"
"Nije bilo uzaludno","950 rsd","https://www.korisnaknjiga.com/photo/books0243/p242200b0.jpg","Biografije, autobiografije, memoari","Knjiga ""Nije bilo uzaludno"" autora Milovana Bojića predstavlja izuzetno intimnu i inspirativnu autobiografiju jednog od najpoznatijih srpskih lekara i političara. 

Ova knjiga osvetljava životnu putanju autora, od njegovog detinjstva u malom selu Lipovu, preko medicinskih studija i uspona u karijeri, do ključnih trenutaka kada je postao jedan od vodećih stručnjaka u oblasti kardiologije i prepoznat na svetskoj sceni zahvaljujući svom radu u Institutu „Dedinje“.

Bojić počinje svoju priču slikajući svoje skromno detinjstvo u ruralnoj sredini, gde su se oblikovali njegovi temelji vrednosti – rad, upornost i humanost. On detaljno opisuje svoj put kroz medicinske studije, osvetljavajući izazove s kojima se suočavao, ali i strast i posvećenost kojima je pristupao svojoj profesiji. 

Njegova ljubav prema medicini i nauci vodi ga do pozicije jednog od najvažnijih lidera u oblasti srčane hirurgije, gde je uspeo da Institut „Dedinje“ postane jedan od najprestižnijih centara za lečenje srčanih bolesti, ne samo u Srbiji, već i u svetu.

U knjizi, Bojić takođe progovara o svojoj političkoj karijeri, uključujući period kada je obavljao funkciju ministra zdravlja. Autor sa velikom iskrenošću opisuje izazove sa kojima se suočavao tokom tog perioda, uključujući političke pritiske i teške odluke koje su često imale dalekosežne posledice po zdravstveni sistem Srbije. Njegova borba da unapredi srpsko zdravstvo, uprkos političkim turbulencijama, prikazana je kroz prizmu humanizma, koji je Bojić postavio kao temelj svoje medicinske i političke prakse.

""Nije bilo uzaludno"" nije samo autobiografija jednog čoveka, već i svedočanstvo o vremenu u kojem je srpsko zdravstvo prolazilo kroz značajne promene. Bojić deli svoja iskustva i misli o reformama koje je sproveo, o svom radu na unapređenju medicinske prakse u zemlji, kao i o tome kako je balansirao između medicine i politike u trenucima kada su ti svetovi često bili u sukobu.

Ova knjiga pruža uvid u čoveka koji je ne samo revolucionisao srčanu medicinu u Srbiji, već je i svojim primerom pokazao kako se kroz posvećen rad i viziju može ostvariti dugotrajan uticaj. Bojićeva priča služi kao inspiracija, ne samo medicinskim stručnjacima, već i svima koji veruju da je moguće ostaviti značajan trag u društvu, čak i u najtežim okolnostima.

""Nije bilo uzaludno"" je dirljivo, iskreno i inspirativno svedočanstvo o upornosti, posvećenosti i borbi za humanizam u medicini i politici, prikazano kroz oči jednog od najvažnijih aktera u srpskoj medicinskoj istoriji.","nije-bilo-uzaludno-naslov-242200","Milovan Bojić"
"Stid","891 rsd","https://www.korisnaknjiga.com/photo/books0243/p242194b0.jpg","Biografije, autobiografije, memoari","Knjiga ""Stid"" autorke Ani Erno predstavlja duboko intimno istraživanje emocije koja oblikuje ljudsko postojanje – stida. 

Počinjući dramatičnom rečenicom, „Jedne junske nedelje, rano po podne, otac je hteo da ubije majku,” roman nas uvodi u svet koji je istovremeno ličan i univerzalan. Ovaj autobiografski inspirisan roman prožet je stvarnim događajem iz autorkinog života, što čini njegovo pripovedanje sirovim i iskrenim, dok Erno kroz književnost oblikuje to iskustvo u složenu emocionalnu mapu univerzalnih osećanja.

Pripovedačica je zrela žena koja se vraća u vreme svog detinjstva, tražeći koren osećaja stida koji ju je progonio tokom celog života. Kroz detaljno sećanje na svoje odrastanje u malom gradu, ona se suočava sa stidom zbog svog porekla, porodice, doma i okruženja. Erno majstorski oslikava suptilne razlike između društvenih klasa i kako one mogu da obeleže devojčicu koja je, upijajući svet oko sebe, shvatila svoj položaj na margini.

Stid postaje ne samo emotivni teret koji je pripovedačica nosila kroz svoje odrastanje, već i pokretač njenog nastojanja da se izdigne iznad svojih korena. Kontrast između siromašnog detinjstva i aspiracija ka obrazovanju i boljem životu postavlja centralno pitanje romana: koliko daleko može otići osoba u pokušaju da se oslobodi onoga što je stidi?

Ani Erno, kroz jednostavan ali snažan jezik, vešto kombinuje lično i kolektivno, stvarajući univerzalnu priču o stidu kao motivu koji nas može oblikovati, ali i osloboditi. ""Stid"" je introspektivni roman koji ispituje društvene nepravde, identitet, poreklo i kako se te duboko usađene emocije prenose kroz život, uvek prisutne, čak i kada postignemo ono o čemu smo sanjali.","stid-naslov-242194","Ani Erno"
"Dijalog o Zlu i Dobru","799 rsd","https://www.korisnaknjiga.com/photo/books0242/p241936b0.jpg","Biografije, autobiografije, memoari","Knjiga ""Dijalog o Zlu i Dobru"" pisaca Đorđa Lebovića i Zlate Lebović Jakovljević nudi duboku refleksiju o ljudskoj prirodi, moralu i borbi između dobra i zla kroz prizmu jednog od najmračnijih perioda u istoriji čovečanstva – holokausta. Ovaj fascinantni dijalog između pisca i preživelog logoraša Đorđa Lebovića i njegove supruge, glumice Zlate Lebović Jakovljević, donosi intimna razmišljanja o njegovom iskustvu u nacističkim logorima, o načinima na koje je zlo oblikovalo njegov život, ali i o snazi dobrote koja se pojavljuje čak i u najstrašnijim okolnostima.

Kroz razgovore, otkrivaju se nepoznati detalji iz Đorđevog detinjstva, njegovog traumatičnog odrastanja u doba rata, i procesa nastajanja njegovih antologijskih dela. Ova knjiga ne samo da je svedočanstvo o preživljavanju, već i duboka analiza o suštinskom značenju dobrote i humanosti u svetu prepunom nepravde i nasilja. Zlata Lebović Jakovljević, kao Đorđeva životna saputnica, unosi u razgovore jedinstven pogled i postavlja ključna pitanja koja omogućavaju dublje razumevanje Đorđevih stavova i dela.

""Dijalog o Zlu i Dobru"" je knjiga koja podseća na tragične ljudske sudbine u teškim vremenima, ali i slavi ljudsku sposobnost da izabere dobrotu, čak i kada je okružena najvećim zlom. Ovaj neprocenjivi portret jednog života i umetničkog stvaralaštva pruža dragocenu lekciju o snazi vere u bolje sutra.","dijalog-o-zlu-i-dobru-naslov-241936","Đorđe Lebović, Zlata Lebović Jakovljević"
